"Asset ID","Type","Name","Path","Created At","URL","Format","Size"
"6a5dd0555c7cd75eb81cdc2a","File","atelier-unknown-012-0621.jpg","/all-images/atelier-unknown-012-0621.jpg","2026-07-20T07:37:57.145Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-012-0621.jpg?updatedAt=1784533077560","jpg","293653"
"6a5dd0545c7cd75eb81cdb26","File","atelier-unknown-017-9305.jpg","/all-images/atelier-unknown-017-9305.jpg","2026-07-20T07:37:56.755Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-017-9305.jpg?updatedAt=1784533077197","jpg","342968"
"6a5dd0535c7cd75eb81cd11e","File","atelier-unknown-011-0620.jpg","/all-images/atelier-unknown-011-0620.jpg","2026-07-20T07:37:55.154Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-011-0620.jpg?updatedAt=1784533075639","jpg","230210"
"6a5dd0525c7cd75eb81ccec5","File","atelier-unknown-016-0634.jpg","/all-images/atelier-unknown-016-0634.jpg","2026-07-20T07:37:54.208Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-016-0634.jpg?updatedAt=1784533074629","jpg","177315"
"6a5dd0515c7cd75eb81ccbfe","File","atelier-unknown-006-0582.jpg","/all-images/atelier-unknown-006-0582.jpg","2026-07-20T07:37:53.538Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-006-0582.jpg?updatedAt=1784533073996","jpg","251598"
"6a5dd0485c7cd75eb81cac54","File","atelier-unknown-013-0625.jpg","/all-images/atelier-unknown-013-0625.jpg","2026-07-20T07:37:44.411Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-013-0625.jpg?updatedAt=1784533064853","jpg","72250"
"6a5dd0475c7cd75eb81ca62f","File","WhatsApp_Image_2026-05-24_at_00.37.28.jpg","/all-images/WhatsApp_Image_2026-05-24_at_00.37.28.jpg","2026-07-20T07:37:43.181Z","https://ik.imagekit.io/hvzm7siir/all-images/WhatsApp_Image_2026-05-24_at_00.37.28.jpg?updatedAt=1784533063620","jpg","121514"
"6a5dd0465c7cd75eb81c9e6d","File","atelier-unknown-001-0350.jpg","/all-images/atelier-unknown-001-0350.jpg","2026-07-20T07:37:41.863Z","https://ik.imagekit.io/hvzm7siir/all-images/atelier-unknown-001-0350.jpg?updatedAt=1784533062298","jpg","123479"
"6a4e92495c7cd75eb8326b35","File","showroom-jackets.jpg","/all-images/showroom-jackets.jpg","2026-07-08T18:11:26.412Z","https://ik.imagekit.io/hvzm7siir/all-images/showroom-jackets.jpg?updatedAt=1783534287101","jpg","5261427"
"6a4e92415c7cd75eb831e6b5","File","IMG_7414.JPG","/all-images/IMG_7414.JPG","2026-07-08T18:11:25.698Z","https://ik.imagekit.io/hvzm7siir/all-images/IMG_7414.JPG?updatedAt=1783534286404","jpg","4793012"
